report_year,report_week,district,disease,category,cases,source_pdf,uid
2016,5,Nagpur,Mumps,air-borne,9,44784235121465987444.pdf,
2016,6,Nagpur,Chickenpox,air-borne,13,77987201021489753657.pdf,MH/NAG/2017/6/0141
2016,6,Yavatmal,Measles,air-borne,19,77987201021489753657.pdf,MH/YVT/2017/6/0142
2016,7,Akola,Measles,air-borne,6,1544826741465987503.pdf,
2016,7,Kolhapur,Chickenpox,air-borne,174,072017.pdf,MH/KOP/2017/7/0187
2016,7,Kolhapur,Dengue,vector-borne,7,1544826741465987503.pdf,
2016,7,Washim,Rubella,air-borne,7,1544826741465987503.pdf,
2016,8,Thane,Jaundice,water-borne,16,68623290411465987526.pdf,
2016,9,Ahilyanagar,Measles,air-borne,13,092017.pdf,
2016,9,Akola,Measles,air-borne,15,092017.pdf,
2016,9,Nagpur,Chickenpox,air-borne,13,9th_wk16.pdf,
2016,10,Akola,Measles,air-borne,13,10th_wk16.pdf,MH/AKL/2016/10/0507
2016,10,Yavatmal,Measles,air-borne,10,10th_wk16.pdf,MH/YVT/2016/10/0509
2016,11,Ahilyanagar,Acute diarrhoeal disease,water-borne,42,11th_wk16.pdf,
2016,11,Nagpur,Acute diarrhoeal disease,water-borne,55,11th_wk16.pdf,
2016,12,Ahilyanagar,Rubella,air-borne,13,12th_wk16.pdf,
2016,14,Ahilyanagar,Acute diarrhoeal disease,water-borne,71,rcntobrk.pdf,
2016,14,Washim,Cholera,water-borne,31,rcntobrk.pdf,
2016,15,Akola,Dysentery,water-borne,22,25655158311465983344.pdf,
2016,21,Akola,Cholera,water-borne,21,24529831491467368085.pdf,
2016,21,Amravati,Cholera,water-borne,62,24529831491467368085.pdf,
2016,21,Chhatrapati Sambhajinagar,Acute diarrhoeal disease,water-borne,60,24529831491467368085.pdf,
2016,21,Jalna,Acute diarrhoeal disease,water-borne,47,24529831491467368085.pdf,
2016,21,Nagpur,Acute diarrhoeal disease,water-borne,194,24529831491467368085.pdf,
2016,21,Nashik,Acute diarrhoeal disease,water-borne,409,24529831491467368085.pdf,
2016,22,Ahilyanagar,Acute diarrhoeal disease,water-borne,42,73651938401470919034.pdf,
2016,22,Beed,Enteric fever,water-borne,22,73651938401470919034.pdf,
2016,22,Nagpur,Acute diarrhoeal disease,water-borne,55,73651938401470919034.pdf,
2016,23,Dharashiv,Acute diarrhoeal disease,water-borne,55,1017710531470919065.pdf,
2016,23,Jalgaon,Cholera,water-borne,53,1017710531470919065.pdf,
2016,23,Nashik,Acute diarrhoeal disease,water-borne,158,1017710531470919065.pdf,
2016,23,Yavatmal,Acute diarrhoeal disease,water-borne,10,1017710531470919065.pdf,
2016,24,Beed,Acute diarrhoeal disease,water-borne,29,66156980721470919091.pdf,
2016,24,Bhandara,Acute gastroenteritis,water-borne,28,66156980721470919091.pdf,
2016,24,Gadchiroli,Acute diarrhoeal disease,water-borne,84,66156980721470919091.pdf,
2016,24,Nashik,Dengue,vector-borne,10,66156980721470919091.pdf,
2016,25,Amravati,Acute gastroenteritis,water-borne,26,72219634171470919115.pdf,
2016,25,Jalna,Acute gastroenteritis,water-borne,15,72219634171470919115.pdf,
2016,25,Kolhapur,Hepatitis E,water-borne,44,72219634171470919115.pdf,
2016,25,Washim,Acute gastroenteritis,water-borne,25,72219634171470919115.pdf,
2016,26,Jalna,Acute gastroenteritis,water-borne,17,33166532671470919134.pdf,
2016,26,Jalna,Acute gastroenteritis,water-borne,13,33166532671470919134.pdf,
2016,26,Thane,Acute gastroenteritis,water-borne,12,33166532671470919134.pdf,
2016,26,Thane,Acute gastroenteritis,water-borne,23,33166532671470919134.pdf,
2016,27,Chhatrapati Sambhajinagar,Acute diarrhoeal disease,water-borne,20,69286944421470997079.pdf,
2016,27,Chhatrapati Sambhajinagar,Cholera,water-borne,9,69286944421470997079.pdf,
2016,27,Thane,Acute diarrhoeal disease,water-borne,25,69286944421470997079.pdf,
2016,28,Nagpur,Cholera,water-borne,858,81165166051471513557.pdf,
2016,28,Nashik,Acute diarrhoeal disease,water-borne,25,81165166051471513557.pdf,
2016,28,Nashik,Acute diarrhoeal disease,water-borne,62,81165166051471513557.pdf,
2016,28,Yavatmal,Acute diarrhoeal disease,water-borne,28,81165166051471513557.pdf,
2016,29,Bhandara,Acute diarrhoeal disease,water-borne,32,90160646731472206250.pdf,
2016,29,Thane,Acute diarrhoeal disease,water-borne,11,90160646731472206250.pdf,
2016,29,Thane,Acute diarrhoeal disease,water-borne,25,90160646731472206250.pdf,
2016,29,Wardha,Acute diarrhoeal disease,water-borne,26,90160646731472206250.pdf,
2016,30,Chandrapur,Acute gastroenteritis,water-borne,16,31559774371473068473.pdf,
2016,30,Kolhapur,Malaria,vector-borne,18,31559774371473068473.pdf,
2016,30,Nagpur,Acute gastroenteritis,water-borne,18,31559774371473068473.pdf,
2016,31,Amravati,Acute diarrhoeal disease,water-borne,13,58448966271473417376.pdf,
2016,31,Solapur,Acute diarrhoeal disease,water-borne,160,58448966271473417376.pdf,
2016,31,Yavatmal,Acute diarrhoeal disease,water-borne,5,58448966271473417376.pdf,
2016,32,Jalgaon,Cholera,water-borne,46,322016.pdf,
2016,32,Kolhapur,Cholera,water-borne,50,322016.pdf,
2016,33,Beed,Dengue,vector-borne,34,332016.pdf,
2016,34,Amravati,Acute gastroenteritis,water-borne,41,342016.pdf,
2016,35,Ahilyanagar,Chikungunya,vector-borne,12,352016.pdf,
2016,36,Nagpur,Dengue,vector-borne,16,362016.pdf,
2016,36,Washim,Chikungunya,vector-borne,9,362016.pdf,
2016,37,Gadchiroli,Acute gastroenteritis,water-borne,65,372016.pdf,
2016,37,Yavatmal,Acute diarrhoeal disease,water-borne,11,372016.pdf,
2016,38,Beed,Chikungunya,vector-borne,5,382016.pdf,MH/BED/2016/38/2239
2016,38,Jalgaon,Dengue,vector-borne,60,382016.pdf,MH/JGA/2016/38/2263
2016,38,Nashik,Diarrhea,water-borne,22,382016.pdf,MH/NAS/2016/38/2265
2016,40,Kolhapur,Acute diarrhoeal disease,water-borne,49,402016.pdf,MH/KOP/2016/40/232 9
2016,41,Dhule,Acute diarrhoeal disease,water-borne,24,23840262681481707331.pdf,
2016,42,Kolhapur,Acute diarrhoeal disease,water-borne,47,92950886071481706669.pdf,
