report_year,report_week,district,disease,category,cases,source_pdf,uid
2014,35,Sangli,Acute Diarrhoeal Disease,water-borne,50.0,35th_wk14.pdf,
2014,36,Akola,Dengue,vector-borne,,36th_wk14.pdf,
2014,36,Nashik,Dengue,vector-borne,,36th_wk14.pdf,
2014,36,Nashik,Malaria?,vector-borne,,36th_wk14.pdf,
2014,36,Pune,Acute Diarrhoeal Disease,water-borne,,36th_wk14.pdf,
2014,37,Gadchiroli,Malaria,vector-borne,17.0,37th_wk14.pdf,
2014,38,Washim,Dengue,vector-borne,28.0,38th_wk14.pdf,
2014,39,Gadchiroli,Malaria,vector-borne,,39th_wk14.pdf,
2014,40,Amravati,Dengue?,vector-borne,,40th_wk14.pdf,
2014,40,Jalgaon,Dengue,vector-borne,,40th_wk14.pdf,
2014,42,Ahmednagar,Dengue?,vector-borne,,42nd_wk14.pdf,
2014,42,Jalgaon,Acute Diarrhoeal Disease,water-borne,,42nd_wk14.pdf,
2014,44,Amravati,Acute Diarrhoeal Disease,water-borne,,44th_wk14.pdf,
2014,47,Ahmednagar,Dengue,vector-borne,,47th_wk14.pdf,
2014,49,Nandurbar,Measles,air-borne,15.0,49th_wk14.pdf,
2014,50,Beed,Acute Diarrhoeal Disease,water-borne,,50th_wk14.pdf,
2015,2,Nashik,Viral Hepatitis,water-borne,12.0,2nd_wk15.pdf,
2015,3,Bhandara,Chickenpox,air-borne,,3rd_wk15.pdf,
2015,4,Jalgaon,Mumps,air-borne,,4th_wk15.pdf,
2015,5,Bhandara,Measles,air-borne,,5th_wk15.pdf,
2015,6,Bhandara,Chickenpox,air-borne,,6th_wk15.pdf,
2015,8,Thane,Acute Diarrheal Disease,water-borne,,8th_wk15.pdf,
2015,9,Bhandara,Chickenpox,air-borne,,9th_wk15.pdf,
2015,16,Nagpur,Viral Hepatitis E,water-borne,16.0,16th_wk15.pdf,
2015,17,,Dysentery,water-borne,,17th_wk15.pdf,
2015,17,Jalgaon,Acute Diarrheal Disease,water-borne,33.0,99171777471465983686.pdf,
2015,17,Yavatmal,Acute Diarrheal Disease,water-borne,12.0,99171777471465983686.pdf,
2015,18,Gadhchiroli,Dengue,vector-borne,,18th_wk15.pdf,
2015,18,Parbhani,Acute Diarrheal Disease,water-borne,25.0,72914162941466750136.pdf,
2015,18,Wardha,Cholera?,water-borne,24.0,72914162941466750136.pdf,
2015,19,Chandrapur,Acute Diarrheal Disease,water-borne,21.0,19th_wk15.pdf,
2015,19,Nagpur,Acute Diarrheal Disease,water-borne,55.0,95133348011466750283.pdf,
2015,19,Parbhani,Acute Diarrheal Disease,water-borne,127.0,95133348011466750283.pdf,
2015,20,Akola,Cholera,water-borne,21.0,2958396131466750320.pdf,
2015,20,Dhule,Acute Diarrheal Disease,water-borne,23.0,2958396131466750320.pdf,
2015,20,Sindhudurg,Acute Diarrheal Disease,water-borne,49.0,2958396131466750320.pdf,
2015,23,Ahmednagar,Acute Diarrheal Disease,water-borne,15.0,23rd_wk15.pdf,
2015,24,,Acute Diarrheal Disease,water-borne,15.0,24th_wk15.pdf,
2015,26,Dhule,Acute Diarrheal Disease,water-borne,13.0,26th_wk15.pdf,
2015,26,Jalgaon,Acute Diarrheal Disease,water-borne,64.0,26th_wk15.pdf,
2015,27,Amravati,Acute Diarrheal Disease,water-borne,56.0,27th_wk15.pdf,
2015,29,Gadhchiroli,Malaria,vector-borne,37.0,29th_wk15.pdf,
2015,29,Jalgaon,Acute Diarrheal Disease,water-borne,107.0,29th_wk15.pdf,
2015,30,Gadchiroli,Malaria,vector-borne,41.0,30th_wk15.pdf,
2015,33,Nashik,Dengue,vector-borne,10.0,33rd_wk15.pdf,
2015,39,Beed,Acute Diarrheal Disease,water-borne,22.0,39th_wk15.pdf,
2015,39,Bhandara,Acute Diarrheal Disease,water-borne,24.0,39th_wk15.pdf,
2015,39,Thane,Acute Diarrheal Disease,water-borne,27.0,39th_wk15.pdf,
2015,40,Jalgaon,Acute Diarrheal Disease,water-borne,100.0,40th_wk15.pdf,
2015,42,Nashik,Dengue,vector-borne,18.0,42nd_wk15.pdf,
2015,42,Thane,Diarrhea,water-borne,33.0,42nd_wk15.pdf,
2015,47,Gadchiroli,Malaria,vector-borne,15.0,47th_wk15.pdf,
2015,47,Gadchiroli,Malaria,vector-borne,30.0,47th_wk15.pdf,
2015,48,Kolhapur,Malaria,vector-borne,11.0,48th_wk15.pdf,
2015,50,Gadchiroli,Malaria,vector-borne,195.0,50th_wk15.pdf,
2015,50,Thane,Acute Diarrheal Disease,water-borne,14.0,50th_wk15.pdf,
2015,51,Ahmednagar,Acute Diarrheal Disease,water-borne,29.0,51st_wk15.pdf,
2015,51,Ahmednagar,Acute Diarrheal Disease,water-borne,104.0,51st_wk15.pdf,
2015,51,Aurangabad,Chikungunya,vector-borne,30.0,51st_wk15.pdf,
2015,52,Kolhapur,Malaria,vector-borne,60.0,52nd_wk15.pdf,
2015,52,Nashik,Dengue,vector-borne,10.0,52nd_wk15.pdf,
2015,53,Gadchiroli,Dysentery,water-borne,102.0,53rd_wk15.pdf,
2015,53,Kolhapur,Malaria,vector-borne,3.0,53rd_wk15.pdf,
2015,53,Wardha,Japanese Encephalitis,vector-borne,1.0,53rd_wk15.pdf,
2016,2,Gadchiroli,Falciparum Malaria,vector-borne,3.0,1489553831487223752.pdf,MH/GAD/2017/2/0038
2016,3,Sindhudurg,Malaria (PF),vector-borne,1.0,6867458831488435370.pdf,MH/SIN/2017/3/0063
2016,4,Amravati,Measles,air-borne,8.0,15366628751488435411.pdf,MH/AMR/2017/4/0084
2016,5,Ahmednaga r,Acute Diarrhoeal Disease,water-borne,41.0,44784235121465987444.pdf,
